assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
147628333,147375249,Ardisia quinquegona,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,PRIMULACEAE,Ardisia,quinquegona,,,,Blume,Least Concern,,3.1,Stable,Global
147628559,111460437,Phoenix loureiroi,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Phoenix,loureiroi,,,,Kunth,Least Concern,,3.1,Stable,Global
147629064,147480528,Myrsine semiserrata,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,PRIMULACEAE,Myrsine,semiserrata,,,,Wall.,Least Concern,,3.1,Stable,Global
147629204,147629202,Sorbus corymbifera,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,ROSACEAE,Sorbus,corymbifera,,,,(Miq.) T.H.Nguyên &amp; Yakovlev,Least Concern,,3.1,Stable,Global
147629509,147482082,Oreocnide rubescens,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,URTICACEAE,Oreocnide,rubescens,,,,(Blume) Miq.,Least Concern,,3.1,Stable,Global
147629611,49834580,Broussonetia papyrifera,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Broussonetia,papyrifera,,,,(L.) L'Hér. ex Vent.,Least Concern,,3.1,Stable,Global
147629754,188134,Senegalia pennata,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Senegalia,pennata,,,,(L.) Maslin,Least Concern,,3.1,Stable,Global
147630245,147630243,Microcos paniculata,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Microcos,paniculata,,,,L.,Least Concern,,3.1,Stable,Global
147630360,147630358,Euonymus vagans,PLANTAE,TRACHEOPHYTA,CELASTRALES,MAGNOLIOPSIDA,CELASTRACEAE,Euonymus,vagans,,,,Wall.,Least Concern,,3.1,Stable,Global
147630778,147480250,Embelia vestita,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,PRIMULACEAE,Embelia,vestita,,,,Roxb.,Least Concern,,3.1,Stable,Global
147630867,147508760,Meliosma yunnanensis,PLANTAE,TRACHEOPHYTA,PROTEALES,MAGNOLIOPSIDA,SABIACEAE,Meliosma,yunnanensis,,,,Franch.,Least Concern,,3.1,Stable,Global
147631296,147631294,Breynia retusa,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PHYLLANTHACEAE,Breynia,retusa,,,,(Dennst.) Alston,Least Concern,,3.1,Stable,Global
147631482,147631480,Turraea pubescens,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,MELIACEAE,Turraea,pubescens,,,,Hell.,Least Concern,,3.1,Stable,Global
147631722,147481377,Streblus ilicifolius,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Streblus,ilicifolius,,,,(S.Vidal) Corner,Least Concern,,3.1,Stable,Global
147631836,147495192,Ficus virens,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,virens,,,,Aiton,Least Concern,,3.1,Stable,Global
147632552,147632550,Saurauia napaulensis,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,ACTINIDIACEAE,Saurauia,napaulensis,,,,DC.,Least Concern,,3.1,Stable,Global
147632722,147632720,Sloanea dasycarpa,PLANTAE,TRACHEOPHYTA,OXALIDALES,MAGNOLIOPSIDA,ELAEOCARPACEAE,Sloanea,dasycarpa,,,,(Benth.) Hemsl.,Least Concern,,3.1,Stable,Global
147632970,147632968,Heynea trijuga,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,MELIACEAE,Heynea,trijuga,,,,Roxb. ex Sims,Least Concern,,3.1,Stable,Global
147633174,147481988,Debregeasia longifolia,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,URTICACEAE,Debregeasia,longifolia,,,,(Burm.f.) Wedd.,Least Concern,,3.1,Stable,Global
147633452,147633450,Lindera latifolia,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Lindera,latifolia,,,,Hook.f.,Least Concern,,3.1,Stable,Global
147633531,147633529,Archidendron clypearia,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Archidendron,clypearia,,,,(Jack) I.C.Nielsen,Least Concern,,3.1,Stable,Global
147633748,147633746,Ficus cyrtophylla,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,cyrtophylla,,,,(Miq.) Miq.,Least Concern,,3.1,Stable,Global
147633899,194230,Quercus semecarpifolia,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Quercus,semecarpifolia,,,,Sm.,Least Concern,,3.1,Stable,Global
147634404,147634402,Syzygium acuminatissimum,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Syzygium,acuminatissimum,,,,(Blume) DC.,Least Concern,,3.1,Stable,Global
147634622,147634620,Crataegus songarica,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,ROSACEAE,Crataegus,songarica,,,,K.Koch,Least Concern,,3.1,Stable,Global
147634712,191106,Brassaiopsis glomerulata,PLANTAE,TRACHEOPHYTA,APIALES,MAGNOLIOPSIDA,ARALIACEAE,Brassaiopsis,glomerulata,,,,(Blume) Regel,Least Concern,,3.1,Stable,Global
147634827,147634825,Alangium barbatum,PLANTAE,TRACHEOPHYTA,CORNALES,MAGNOLIOPSIDA,CORNACEAE,Alangium,barbatum,,,,(R.Br. ex C.B.Clarke) Baill. ex Kuntze,Least Concern,,3.1,Stable,Global
147635063,147635061,Lauro-cerasus undulata,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,ROSACEAE,Lauro-cerasus,undulata,,,,(Buch.-Ham. ex D.Don) M.Roem.,Least Concern,,3.1,Stable,Global
147635178,147635176,Padus napaulensis,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,ROSACEAE,Padus,napaulensis,,,,(Ser.) C.K.Schneid.,Least Concern,,3.1,Stable,Global
147635643,147635640,Clethra delavayi,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,CLETHRACEAE,Clethra,delavayi,,,,Franch.,Least Concern,,3.1,Stable,Global
147636175,147636173,Millettia pachycarpa,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Millettia,pachycarpa,,,,Benth.,Least Concern,,3.1,Stable,Global
147636357,147636355,Glycosmis pentaphylla,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,RUTACEAE,Glycosmis,pentaphylla,,,,(Retz.) DC.,Least Concern,,3.1,Stable,Global
147636494,147480314,Maesa indica,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,PRIMULACEAE,Maesa,indica,,,,(Roxb.) Sweet,Least Concern,,3.1,Stable,Global
147636938,147636936,Dalbergia stipulacea,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Dalbergia,stipulacea,,,,Roxb.,Least Concern,,3.1,Unknown,Global
147637126,147637124,Ficus auriculata,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,auriculata,,,,Lour.,Least Concern,,3.1,Stable,Global
147637229,147637227,Blumea balsamifera,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Blumea,balsamifera,,,,DC.,Least Concern,,3.1,Stable,Global
147637366,147482710,Ziziphus mauritiana,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,RHAMNACEAE,Ziziphus,mauritiana,,,,Lam.,Least Concern,,3.1,Stable,Global
